City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
326,Auki,-8.7676,160.7034,80.08,86,95,7.65,SB,moderate rain
327,Port Hardy,50.6996,-127.4199,42.76,91,59,8.7,CA,broken clouds
328,Solnechnyy,50.7214,136.6319,12.92,86,100,4.59,RU,overcast clouds
329,Alyangula,-13.8483,136.4192,87.91,57,53,3.8,AU,broken clouds
330,Saldanha,-33.0117,17.9442,62.28,88,0,10.04,ZA,clear sky
331,Plainview,40.7765,-73.4673,44.74,55,100,0.0,US,overcast clouds
332,Walvis Bay,-22.9575,14.5053,72.09,83,16,5.73,NA,few clouds
333,Norman Wells,65.282,-126.8329,-12.35,89,30,1.66,CA,scattered clouds
334,Marienburg,54.0359,19.0266,37.96,88,100,9.62,PL,overcast clouds
335,Tenenkou,14.4572,-4.9169,66.85,16,0,13.27,ML,clear sky
336,Emba,48.8264,58.1442,27.46,98,100,5.19,KZ,snow
337,Olafsvik,64.8945,-23.7142,34.48,63,98,10.18,IS,overcast clouds
338,Talaya,61.3833,152.75,-19.82,87,92,0.51,RU,overcast clouds
339,Kruisfontein,-34.0033,24.7314,59.76,91,0,2.82,ZA,clear sky
340,Nara,34.6851,135.8049,51.96,39,9,9.95,JP,clear sky
341,Coolum Beach,-26.5333,153.1,85.33,56,0,17.56,AU,clear sky
342,Riverton,40.5219,-111.9391,44.31,68,0,10.0,US,clear sky
343,Saquena,-4.6667,-73.5167,72.91,94,95,0.45,PE,overcast clouds
